team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
EDM,2008,EDM,2008020029,EDM,COL,HOME,20081012,Team Level,other,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDM,2008,EDM,2008020029,EDM,COL,HOME,20081012,Team Level,all,0.3616,0.4059,0.3766,3600.0,21.31,1.631,1.297,4.622,0.641,11.531,9.278,1.61,1.612,1.59,19.0,10.0,12.0,41.0,3.0,1.0,0.0,7.0,0.0,5.0,13.0,16.0,26.0,5.0,14.0,14.0,15.0,9.0,21.0,20.0,8.0,1.0,0.498,0.857,0.276,1.0,1.0,1.0,40.54,29.0,28.876,11.0,0.278,0.042,0.042,1.867,1.844,1.819,36.11,2.879,2.479,8.62,1.281,18.67,14.07,2.747,2.946,2.809,33.0,15.0,12.0,60.0,2.0,4.0,1.0,8.0,0.0,18.0,16.0,31.0,46.0,5.0,16.0,36.0,16.0,7.0,13.0,36.0,9.0,3.0,0.976,1.053,0.85,1.0,1.0,0.0,60.396,48.0,48.069,5.0,0.545,0.709,0.709,2.716,2.774,2.735
EDM,2008,EDM,2008020029,EDM,COL,HOME,20081012,Team Level,5on5,0.3175,0.4146,0.3833,2970.0,16.819,1.108,0.93,3.832,0.517,9.057,7.556,1.106,1.088,1.086,15.0,8.0,11.0,34.0,2.0,1.0,0.0,6.0,0.0,4.0,10.0,13.0,21.0,5.0,14.0,14.0,14.0,7.0,19.0,19.0,3.0,1.0,0.466,0.365,0.276,1.0,0.0,1.0,33.54,23.0,22.876,10.0,0.187,0.042,0.042,1.252,1.23,1.229,28.16,2.382,1.736,7.11,1.056,13.684,11.032,2.249,2.449,2.312,24.0,13.0,11.0,48.0,2.0,4.0,1.0,8.0,0.0,14.0,9.0,22.0,35.0,5.0,16.0,27.0,14.0,6.0,10.0,27.0,8.0,2.0,0.911,0.966,0.505,1.0,1.0,0.0,48.396,37.0,37.069,3.0,0.36,0.709,0.709,2.033,2.091,2.053
EDM,2008,EDM,2008020029,EDM,COL,HOME,20081012,Team Level,4on5,0.1697,0.0909,0.0909,309.0,0.911,0.084,0.06,0.095,0.021,0.264,0.475,0.084,0.084,0.084,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.013,0.0,0.0,0.097,0.097,0.097,7.172,0.411,0.705,1.4,0.204,4.761,2.519,0.41,0.411,0.41,9.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,9.0,10.0,0.0,0.0,3.0,0.0,0.0,1.0,9.0,0.0,1.0,0.065,0.0,0.345,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.177,0.0,0.0,0.588,0.588,0.587
EDM,2008,EDM,2008020029,EDM,COL,HOME,20081012,Team Level,5on4,0.8349,0.8571,0.8333,302.0,3.58,0.44,0.308,0.694,0.103,2.209,1.246,0.419,0.44,0.419,3.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.032,0.408,0.0,0.0,1.0,0.0,6.0,5.0,5.0,0.0,0.078,0.0,0.0,0.518,0.518,0.493,0.778,0.087,0.038,0.11,0.021,0.225,0.519,0.087,0.087,0.087,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.008,0.0,0.0,0.095,0.095,0.095
EDM,2008,EDM,2008020048,EDM,ANA,AWAY,20081015,Team Level,other,0.0654,0.1667,0.1667,181.0,0.774,0.014,0.018,0.272,0.027,0.242,0.428,0.014,0.014,0.014,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004,0.0,0.0,0.018,0.018,0.018,3.13,0.2,0.268,0.601,0.117,2.791,1.022,0.197,0.2,0.197,4.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.067,0.0,0.0,0.267,0.267,0.263
EDM,2008,EDM,2008020048,EDM,ANA,AWAY,20081015,Team Level,all,0.4952,0.4352,0.4556,3600.0,28.06,2.177,2.025,6.289,0.984,17.061,12.464,2.124,2.283,2.228,28.0,13.0,6.0,47.0,3.0,2.0,1.0,7.0,1.0,12.0,16.0,25.0,38.0,2.0,4.0,22.0,20.0,7.0,7.0,33.0,7.0,1.0,0.985,0.796,0.396,0.0,2.0,1.0,48.892,41.0,42.56,1.0,0.439,0.161,0.161,2.454,2.571,2.532,33.96,2.219,2.317,7.218,1.095,21.199,14.952,2.192,2.136,2.111,35.0,14.0,12.0,61.0,2.0,0.0,0.0,6.0,0.0,17.0,24.0,33.0,47.0,4.0,8.0,32.0,27.0,13.0,10.0,40.0,9.0,0.0,1.315,0.903,0.0,2.0,0.0,0.0,58.595,49.0,47.391,4.0,0.497,0.0,0.0,2.715,2.615,2.582
EDM,2008,EDM,2008020048,EDM,ANA,AWAY,20081015,Team Level,5on5,0.4975,0.4205,0.4658,2985.0,23.043,1.709,1.543,5.189,0.812,13.958,10.789,1.658,1.815,1.762,22.0,12.0,3.0,37.0,2.0,2.0,1.0,4.0,1.0,10.0,15.0,20.0,32.0,2.0,4.0,16.0,19.0,5.0,7.0,27.0,7.0,0.0,0.913,0.796,0.0,0.0,2.0,0.0,38.892,34.0,35.56,1.0,0.311,0.161,0.161,1.859,1.975,1.941,27.71,1.726,1.767,5.959,0.859,16.009,12.68,1.704,1.643,1.622,28.0,11.0,12.0,51.0,2.0,0.0,0.0,5.0,0.0,12.0,20.0,26.0,37.0,3.0,6.0,22.0,23.0,9.0,9.0,31.0,8.0,0.0,0.927,0.799,0.0,2.0,0.0,0.0,48.595,39.0,37.391,3.0,0.357,0.0,0.0,2.083,1.982,1.956
EDM,2008,EDM,2008020048,EDM,ANA,AWAY,20081015,Team Level,4on5,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121,0.293,0.282,0.658,0.119,2.399,1.25,0.291,0.293,0.291,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.189,0.104,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.073,0.0,0.0,0.366,0.366,0.363
EDM,2008,EDM,2008020048,EDM,ANA,AWAY,20081015,Team Level,5on4,1.0,1.0,1.0,287.0,4.244,0.454,0.464,0.828,0.145,2.862,1.247,0.453,0.454,0.453,5.0,1.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,0.058,0.0,0.396,0.0,0.0,1.0,9.0,6.0,6.0,0.0,0.123,0.0,0.0,0.578,0.578,0.573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
